PMID,DOI,model,endocrine,download,Pub Yr,Title,LinkPMID,Tiab
16963515,10.1093/toxsci/kfl103,2,0,0,2007,The ToxCast program for prioritizing toxicity testing of environmental chemicals.,16963515,"The ToxCast program for prioritizing toxicity testing of environmental chemicals.   Abstract:  The U.S. Environmental Protection Agency (EPA) is developing methods for utilizing computational chemistry, high-throughput screening (HTS), and various toxicogenomic technologies to predict potential for toxicity and prioritize limited testing resources toward chemicals that likely represent the greatest hazard to human health and the environment. This chemical prioritization research program, entitled &quot;ToxCast,&quot; is being initiated with the purpose of developing the ability to forecast toxicity based on bioactivity profiling. The proof-of-concept phase of ToxCast will focus upon chemicals with an existing, rich toxicological database in order to provide an interpretive context for the ToxCast data. This set of several hundred reference chemicals will represent numerous structural classes and phenotypic outcomes, including tumorigens, developmental and reproductive toxicants, neurotoxicants, and immunotoxicants. The ToxCast program will evaluate chemical properties and bioactivity profiles across a broad spectrum of data domains: physical-chemical, predicted biological activities based on existing structure-activity models, biochemical properties based on HTS assays, cell-based phenotypic assays, and genomic and metabolomic analyses of cells. These data will be generated through a series of external contracts, along with collaborations across EPA, with the National Toxicology Program, and with the National Institutes of Health Chemical Genomics Center. The resulting multidimensional data set provides an informatics challenge requiring appropriate computational methods for integrating various chemical, biological, and toxicological data into profiles and models predicting toxicity."
18671997,10.1016/j.taap.2007.12.037,0,0,0,2008,ACToR--Aggregated Computational Toxicology Resource.,18671997,"ACToR--Aggregated Computational Toxicology Resource.   Abstract:  ACToR (Aggregated Computational Toxicology Resource) is a database and set of software applications that bring into one central location many types and sources of data on environmental chemicals. Currently, the ACToR chemical database contains information on chemical structure, in vitro bioassays and in vivo toxicology assays derived from more than 150 sources including the U.S. Environmental Protection Agency (EPA), Centers for Disease Control (CDC), U.S. Food and Drug Administration (FDA), National Institutes of Health (NIH), state agencies, corresponding government agencies in Canada, Europe and Japan, universities, the World Health Organization (WHO) and non-governmental organizations (NGOs). At the EPA National Center for Computational Toxicology, ACToR helps manage large data sets being used in a high-throughput environmental chemical screening and prioritization program called ToxCast."
19337514,10.1289/ehp.0800074,1,0,0,2009,Profiling chemicals based on chronic toxicity results from the U.S. EPA ToxRef Database.,19337514,"Profiling chemicals based on chronic toxicity results from the U.S. EPA ToxRef Database.   Abstract:  BACKGROUND: Thirty years of pesticide registration toxicity data have been historically stored as hardcopy and scanned documents by the U.S. Environmental Protection Agency (EPA). A significant portion of these data have now been processed into standardized and structured toxicity data within the EPA's Toxicity Reference Database (ToxRefDB), including chronic, cancer, developmental, and reproductive studies from laboratory animals. These data are now accessible and mineable within ToxRefDB and are serving as a primary source of validation for U.S. EPA's ToxCast research program in predictive toxicology. OBJECTIVE: We profiled in vivo toxicities across 310 chemicals as a model application of ToxRefDB, meeting the need for detailed anchoring end points for development of ToxCast predictive signatures. METHODS: Using query and structured data-mining approaches, we generated toxicity profiles from ToxRefDB based on long-term rodent bioassays. These chronic/cancer data were analyzed for suitability as anchoring end points based on incidence, target organ, severity, potency, and significance. RESULTS: Under conditions of the bioassays, we observed pathologies for 273 of 310 chemicals, with greater preponderance (&gt;90%) occurring in the liver, kidney, thyroid, lung, testis, and spleen. We observed proliferative lesions for 225 chemicals, and 167 chemicals caused progression to cancer-related pathologies. CONCLUSIONS: Based on incidence, severity, and potency, we selected 26 primarily tissue-specific pathology end points to uniformly classify the 310 chemicals. The resulting toxicity profile classifications demonstrate the utility of structuring legacy toxicity information and facilitating the computation of these data within ToxRefDB for ToxCast and other applications."
19412856,10.1080/10590500902885593,2,0,0,2009,"Predictive models for carcinogenicity and mutagenicity: frameworks, state-of-the-art, and perspectives.",19412856,"Predictive models for carcinogenicity and mutagenicity: frameworks, state-of-the-art, and perspectives.   Abstract:  Mutagenicity and carcinogenicity are endpoints of major environmental and regulatory concern. These endpoints are also important targets for development of alternative methods for screening and prediction due to the large number of chemicals of potential concern and the tremendous cost (in time, money, animals) of rodent carcinogenicity bioassays. Both mutagenicity and carcinogenicity involve complex, cellular processes that are only partially understood. Advances in technologies and generation of new data will permit a much deeper understanding. In silico methods for predicting mutagenicity and rodent carcinogenicity based on chemical structural features, along with current mutagenicity and carcinogenicity data sets, have performed well for local prediction (i.e., within specific chemical classes), but are less successful for global prediction (i.e., for a broad range of chemicals). The predictivity of in silico methods can be improved by improving the quality of the data base and endpoints used for modelling. In particular, in vitro assays for clastogenicity need to be improved to reduce false positives (relative to rodent carcinogenicity) and to detect compounds that do not interact directly with DNA or have epigenetic activities. New assays emerging to complement or replace some of the standard assays include Vitotox, GreenScreenGC, and RadarScreen. The needs of industry and regulators to assess thousands of compounds necessitate the development of high-throughput assays combined with innovative data-mining and in silico methods. Various initiatives in this regard have begun, including CAESAR, OSIRIS, CHEMOMENTUM, CHEMPREDICT, OpenTox, EPAA, and ToxCast. In silico methods can be used for priority setting, mechanistic studies, and to estimate potency. Ultimately, such efforts should lead to improvements in application of in silico methods for predicting carcinogenicity to assist industry and regulators and to enhance protection of public health."
19446433,10.1016/j.reprotox.2009.03.016,2,0,0,2009,Profiling the activity of environmental chemicals in prenatal developmental toxicity studies using the U.S. EPA's ToxRefDB.,19446433,"Profiling the activity of environmental chemicals in prenatal developmental toxicity studies using the U.S. EPA's ToxRefDB.   Abstract:  As the primary source for regulatory developmental toxicity information, prenatal studies characterize maternal effects and fetal endpoints including malformations, resorptions, and fetal weight reduction. Results from 383 rat and 368 rabbit prenatal studies on 387 chemicals, mostly pesticides, were entered into the U.S. Environmental Protection Agency's (EPA) Toxicity Reference Database (ToxRefDB) using harmonized terminology. An initial assessment of these data was performed with the goal of profiling environmental chemicals based on maternal and fetal endpoints for anchoring in vitro data provided in the EPA's ToxCast research program. Using 30 years worth of standard prenatal studies, maternal and fetal effects were culled from the database and analyzed by target-description fields and lowest effect levels (LELs). Focusing on inter-species comparison, the complexity of fetal target organ response to maternal dosing with environmental chemicals during the period of major organogenesis revealed hierarchical relationships. Of 283 chemicals tested in both species, 53 chemicals (18.7%) had LELs on development (dLEL) that were either specific, with no maternal toxicity (mLEL), or sensitive (dLEL&lt;mLEL) to exposure in one species or another. The primary expressions of developmental toxicity in pregnant rats were fetal weight reduction, skeletal variations and abnormalities, and fetal urogenital defects. General pregnancy/fetal losses were over-represented in the rabbit as were structural malformations to the visceral body wall and CNS. Based upon administered doses, there was a clear hierarchy to the sensitivity and specificity of dLELs in comparing species, with rat development being more sensitive with regards to the number of endpoints affected and the number of active chemicals. Many of these relationships are consistent with previous database studies of developmental toxicology, indicating that they are driven by the biology of the test species. This novel data model provides an important public resource for cross-scale modeling and predictive understanding of developmental processes and toxicities."
19479008,10.1289/ehp.0800168,0,0,0,2009,The toxicity data landscape for environmental chemicals.,19479008,"The toxicity data landscape for environmental chemicals.   Abstract:  OBJECTIVE: Thousands of chemicals are in common use, but only a portion of them have undergone significant toxicologic evaluation, leading to the need to prioritize the remainder for targeted testing. To address this issue, the U.S. Environmental Protection Agency (EPA) and other organizations are developing chemical screening and prioritization programs. As part of these efforts, it is important to catalog, from widely dispersed sources, the toxicology information that is available. The main objective of this analysis is to define a list of environmental chemicals that are candidates for the U.S. EPA screening and prioritization process, and to catalog the available toxicology information. METHODS: We are developing ACToR (Aggregated Computational Toxicology Resource), which combines information for hundreds of thousands of chemicals from &gt; 200 public sources, including the U.S. EPA, National Institutes of Health, Food and Drug Administration, corresponding agencies in Canada, Europe, and Japan, and academic sources. METHODS: ACToR contains chemical structure information; physical-chemical properties; in vitro assay data; tabular in vivo data; summary toxicology calls (e.g., a statement that a chemical is considered to be a human carcinogen); and links to online toxicology summaries. Here, we use data from ACToR to assess the toxicity data landscape for environmental chemicals. RESULTS: We show results for a set of 9,912 environmental chemicals being considered for analysis as part of the U.S. EPA ToxCast screening and prioritization program. These include high-and medium-production-volume chemicals, pesticide active and inert ingredients, and drinking water contaminants. CONCLUSIONS: Approximately two-thirds of these chemicals have at least limited toxicity summaries available. About one-quarter have been assessed in at least one highly curated toxicology evaluation database such as the U.S. EPA Toxicology Reference Database, U.S. EPA Integrated Risk Information System, and the National Toxicology Program."
19591892,10.1016/j.yrtph.2009.07.004,0,0,0,2009,Evaluation of high-throughput genotoxicity assays used in profiling the US EPA ToxCast chemicals.,19591892,"Evaluation of high-throughput genotoxicity assays used in profiling the US EPA ToxCast chemicals.   Abstract:  Three high-throughput screening (HTS) genotoxicity assays-GreenScreen HC GADD45a-GFP (Gentronix Ltd.), CellCiphr p53 (Cellumen Inc.) and CellSensor p53RE-bla (Invitrogen Corp.)-were used to analyze the collection of 320 predominantly pesticide active compounds being tested in Phase I of US. Environmental Protection Agency's ToxCast research project. Between 9% and 12% of compounds were positive for genotoxicity in the assays. However, results of the varied tests only partially overlapped, suggesting a strategy of combining data from a battery of assays. The HTS results were compared to mutagenicity (Ames) and animal tumorigenicity data. Overall, the HTS assays demonstrated low sensitivity for rodent tumorigens, likely due to: screening at a low concentration, coverage of selected genotoxic mechanisms, lack of metabolic activation and difficulty detecting non-genotoxic carcinogens. Conversely, HTS results demonstrated high specificity, &gt;88%. Overall concordance of the HTS assays with tumorigenicity data was low, around 50% for all tumorigens, but increased to 74-78% (vs. 60% for Ames) for those compounds producing tumors in rodents at multiple sites and, thus, more likely genotoxic carcinogens. The aim of the present study was to evaluate the utility of HTS assays to identify potential genotoxicity hazard in the larger context of the ToxCast project, to aid prioritization of environmentally relevant chemicals for further testing and assessment of carcinogenicity risk to humans."
19773588,10.1177/1087057109345525,2,0,0,2009,Profiling bioactivity of the ToxCast chemical library using BioMAP primary human cell systems.,19773588,"Profiling bioactivity of the ToxCast chemical library using BioMAP primary human cell systems.   Abstract:  The complexity of human biology has made prediction of health effects as a consequence of exposure to environmental chemicals especially challenging. Complex cell systems, such as the Biologically Multiplexed Activity Profiling (BioMAP) primary, human, cell-based disease models, leverage cellular regulatory networks to detect and distinguish chemicals with a broad range of target mechanisms and biological processes relevant to human toxicity. Here the authors use the BioMAP human cell systems to characterize effects relevant to human tissue and inflammatory disease biology following exposure to the 320 environmental chemicals in the Environmental Protection Agency's (EPA's) ToxCast phase I library. The ToxCast chemicals were assayed at 4 concentrations in 8 BioMAP cell systems, with a total of 87 assay endpoints resulting in more than 100,000 data points. Within the context of the BioMAP database, ToxCast compounds could be classified based on their ability to cause overt cytotoxicity in primary human cell types or according to toxicity mechanism class derived from comparisons to activity profiles of BioMAP reference compounds. ToxCast chemicals with similarity to inducers of mitochondrial dysfunction, cAMP elevators, inhibitors of tubulin function, inducers of endoplasmic reticulum stress, or NFkappaB pathway inhibitors were identified based on this BioMAP analysis. This data set is being combined with additional ToxCast data sets for development of predictive toxicity models at the EPA."
19805409,10.1093/toxsci/kfp231,5,0,0,2009,"Weighted feature significance: a simple, interpretable model of compound toxicity based on the statistical enrichment of structural features.",19805409,"Weighted feature significance: a simple, interpretable model of compound toxicity based on the statistical enrichment of structural features.   Abstract:  In support of the U.S. Tox21 program, we have developed a simple and chemically intuitive model we call weighted feature significance (WFS) to predict the toxicological activity of compounds, based on the statistical enrichment of structural features in toxic compounds. We trained and tested the model on the following: (1) data from quantitative high-throughput screening cytotoxicity and caspase activation assays conducted at the National Institutes of Health Chemical Genomics Center, (2) data from Salmonella typhimurium reverse mutagenicity assays conducted by the U.S. National Toxicology Program, and (3) hepatotoxicity data published in the Registry of Toxic Effects of Chemical Substances. Enrichments of structural features in toxic compounds are evaluated for their statistical significance and compiled into a simple additive model of toxicity and then used to score new compounds for potential toxicity. The predictive power of the model for cytotoxicity was validated using an independent set of compounds from the U.S. Environmental Protection Agency tested also at the National Institutes of Health Chemical Genomics Center. We compared the performance of our WFS approach with classical classification methods such as Naive Bayesian clustering and support vector machines. In most test cases, WFS showed similar or slightly better predictive power, especially in the prediction of hepatotoxic compounds, where WFS appeared to have the best performance among the three methods. The new algorithm has the important advantages of simplicity, power, interpretability, and ease of implementation."
20143881,10.1021/tx900325g,1,0,0,2010,Impact of environmental chemicals on key transcription regulators and correlation to toxicity end points within EPA's ToxCast program.,20143881,"Impact of environmental chemicals on key transcription regulators and correlation to toxicity end points within EPA's ToxCast program.   Abstract:  Exposure to environmental chemicals adds to the burden of disease in humans and wildlife to a degree that is difficult to estimate and, thus, mitigate. The ability to assess the impact of existing chemicals for which little to no toxicity data are available or to foresee such effects during early stages of chemical development and use, and before potential exposure occurs, is a pressing need. However, the capacity of the current toxicity evaluation approaches to meet this demand is limited by low throughput and high costs. In the context of EPA's ToxCast project, we have evaluated a novel cellular biosensor system (Factorial (1) ) that enables rapid, high-content assessment of a compound's impact on gene regulatory networks. The Factorial biosensors combined libraries of cis- and trans-regulated transcription factor reporter constructs with a highly homogeneous method of detection enabling simultaneous evaluation of multiplexed transcription factor activities. Here, we demonstrate the application of the technology toward determining bioactivity profiles by quantitatively evaluating the effects of 309 environmental chemicals on 25 nuclear receptors and 48 transcription factor response elements. We demonstrate coherent transcription factor activity across nuclear receptors and their response elements and that Nrf2 activity, a marker of oxidative stress, is highly correlated to the overall promiscuity of a chemical. Additionally, as part of the ToxCast program, we identify molecular targets that associate with in vivo end points and represent modes of action that can serve as potential toxicity pathway biomarkers and inputs for predictive modeling of in vivo toxicity."
