,DOI,Pub Yr
0,10.1093/toxsci/kfl103,2007
1,10.1016/j.taap.2007.12.037,2008
2,10.1289/ehp.0800074,2009
3,10.1080/10590500902885593,2009
4,10.1016/j.reprotox.2009.03.016,2009
5,10.1289/ehp.0800168,2009
6,10.1016/j.yrtph.2009.07.004,2009
7,10.1177/1087057109345525,2009
8,10.1093/toxsci/kfp231,2009
9,10.1021/tx900325g,2010
10,10.1016/j.ntt.2010.02.002,2010
11,10.1289/ehp.118-a172a,2010
12,10.1289/ehp.0901392,2010
13,10.1002/bdrc.20176,2010
14,10.1289/ehp.1001930,2010
15,10.1080/10937404.2010.483935,2010
16,10.1080/10937404.2010.483949,2010
17,10.1093/toxsci/kfq220,2010
18,10.1016/j.drudis.2010.07.007,2010
19,10.1289/ehp.1002180,2010
20,10.1080/10590501.2010.525781,2010
21,10.1016/j.tox.2010.12.010,2011
22,10.1016/j.taap.2011.01.015,2013
23,10.1002/jat.1626,2011
24,10.1002/em.20653,2011
25,10.1002/em.20656,2011
26,10.1289/ehp.1002952,2011
27,10.1095/biolreprod.111.090977,2011
28,10.1371/journal.pone.0018540,2011
29,10.1002/bdrb.20315,2011
30,10.1289/ehp.1103750,2011
31,10.1289/ehp.1103412,2011
32,10.1093/toxsci/kfr220,2011
33,10.1016/j.taap.2011.08.025,2011
34,10.1002/bdrc.20214,2011
35,10.1093/toxsci/kfr254,2012
36,10.14573/altex.2011.3.175,2011
37,10.1007/s00204-011-0768-0,2012
38,10.1016/j.scitotenv.2011.10.046,2012
39,10.1016/j.reprotox.2011.10.018,2012
40, 10.3109/19396368.2011.652288,2012
41,10.1289/ehp.1104597,2012
42,10.1021/tx3000939,2012
43,10.1208/s12248-012-9358-1,2012
44,10.1186/2041-1480-3-S1-S7,2012
45,10.1093/toxsci/kfs159,2012
46,10.1177/0192623312450632,2013
47,10.1093/toxsci/kfs285,2013
48,10.1289/ehp.1205065,2013
49,10.1289/ehp.1205383,2012
50,10.1007/978-1-62703-131-8_26,2013
51,10.1093/toxsci/kft012,2013
52,10.1002/minf.201200065,2012
53,10.1016/j.cbi.2013.03.013,2013
54,10.1007/s11095-013-1023-6,2013
55,10.1371/journal.pcbi.1002996,2013
56,10.1289/ehp.1206301,2013
57,10.1289/ehp.1205784,2013
58,10.1021/tx400021f,2013
59,10.14573/altex.2013.2.119,2013
60,10.1021/tx400117y,2013
61,10.1016/j.drudis.2013.05.015,2013
62,10.1021/es400482g,2013
63,10.1289/ehp.121-a228,2013
64,10.1021/tx4001754,2013
65,10.1080/10590501.2013.824188,2013
66,10.1093/toxsci/kft204,2013
67,10.1177/1087057113505325,2014
68,10.1177/1087057113505324,2013
69,10.1093/toxsci/kft235,2014
70,10.1007/s00204-013-1164-8,2013
71,10.1021/ci400527b,2013
72,10.1021/es404322p,2014
73,10.1021/tx400343t,2014
74,10.1111/biom.12114,2014
75,10.1111/bcpt.12202,2014
76,10.1093/toxsci/kfu023,2014
77,10.1111/bcpt.12239,2014
78,10.1038/nbt.2914,2014
79,10.1016/j.yrtph.2014.05.010,2014
80,10.1517/17425255.2014.934670,2014
81,10.1016/j.neuro.2014.06.012,2014
82,10.1038/srep05664,2014
83,10.1021/es501955g,2014
84,10.1016/j.taap.2014.07.009,2014
85,10.1371/journal.pone.0104190,2014
86,10.1016/j.toxrep.2014.05.010,2014
87,10.1093/toxsci/kfu169,2014
88,10.1371/journal.pone.0108510,2014
89,10.1038/srep06437,2014
90,10.1289/ehp.1408642,2015
91,10.1289/ehp.1408601,2015
92,10.1016/j.coph.2014.09.021,2014
93,10.1002/em.21934,2014
94,10.1289/ehp.123-A20,2015
95,10.1289/ehp.123-A23,2015
96,10.3390/ijms16011008,2015
97,10.1016/j.yrtph.2015.01.008,2015
98,10.1021/tx500501h,2015
99,10.2174/1386207318666150305155255,2015
100,,2015
101,10.1016/j.yrtph.2015.04.009,2015
102,10.1177/1087057115581317,2015
103,10.1093/toxsci/kfv085,2015
104,10.1021/acs.est.5b00498,2015
105,10.1289/ehp.1409450,2016
106,10.1002/bdrb.21140,2015
107,10.1021/acs.est.5b02641,2015
108,10.1093/bioinformatics/btv373,2015
109,10.14573/altex.1505121,2015
110,10.1007/s00204-015-1554-1,2015
111,10.1007/s00204-015-1554-1,2015
112,10.1093/toxsci/kfv141,2015
113,10.1093/toxsci/kfv141,2016
114,10.1093/mutage/gev055,2015
115,10.1093/toxsci/kfv171,2015
116,10.1038/nbt.3299,2015
117,10.1289/ehp.1509763,2015
118,10.1289/ehp.1409029,2015
119,10.1289/ehp.1409645,2015
120,10.1289/ehp.1409645,2015
121,10.1021/acs.chemrestox.5b00369,2015
122,10.1021/acs.chemrestox.5b00358,2015
123,,2015
124,10.1016/j.chemosphere.2015.10.114,2016
125,10.1093/toxsci/kfv261,2016
126,10.3389/fpubh.2015.00265,2015
127,10.3389/fpubh.2015.00265,2016
128,10.1021/acs.chemrestox.5b00458,2016
129,10.1093/toxsci/kfw002,2016
130,10.1093/toxsci/kfw002,2016
131,10.1016/j.envint.2015.12.008,2016
132,10.1016/j.tiv.2016.01.011,2016
133,10.1016/j.tiv.2016.01.011,2016
134,10.14573/altex.1510052,2016
135,10.14573/altex.1601252,2016
136,10.14573/altex.1601252,2016
137,10.1093/toxsci/kfw034,2016
