,doi,note,title
0,['10.1016/j.jhazmat.2012.09.001'],[],Phenomenological and Spectroscopic Analysis on the Effects of Sediment Ageing and Organic Carbon on the Fate of a PCB Congener Spiked to Sediment
1,"['10.1039/C3CC90365F', '10.1039/c2cc32392c']",['Multiple results'],Stereo- and regio-selective one-pot synthesis of triazole-based unnatural amino acids and β- amino triazoles
2,['10.3109/17435390.2013.858794'],[],Effects of single-walled carbon nanotubes on the bioavailability of PCBs in field-contaminated sediments
3,[],['No results'],Chemical and Hormonal effects on STAT5b-dependent Sexual Dimorphism of the Liver Transcriptome in a Mouse Liver Gene Expression Compendium
4,['10.1289/ehp.1104709'],[],Profiling Environmental Chemicals for Activity in the Antioxidant Response Element Signaling Pathway Using a High-Throughput Screening Approach
5,['10.1016/j.neuro.2011.11.005'],[],"Developmental Thyroid Hormone Disruption: Prevalence, Environmental Contaminants and Neurodevelopmental Consequences"
6,[],['No results'],Chemical-gene interaction networks and causal reasoning for biological effects  prediction and prioritization of contaminants for environmental monitoring and  surveillance
7,['10.1002/etc.2041'],[],Enantioselective toxicity and bioaccumulation of fipronil in fathead minnows Pimephales promelas following water and sediment exposures
8,[],['No results'],A Multi-Reporter Mouse Enables a Simultaneous Assessment of Multiple Gene Regulatory Pathways in Vivo
9,[],['No results'],Scientific and Regulatory Policy Committee SRPC Review: Interpretation and Use of Cell Proliferation Data in Cancer Risk Assessment
10,['10.1093/carcin/bgv057'],[],Latent carcinogenicity of early-life exposure to dichloroacetic acid in mice
11,[],['No results'],Coupling in vitro and in vivo  neurochemical-based  assessments of 1 wastewater  effluents from the  Maumee River area of concern
12,[],['No results'],Distinct Effects of Humic Acid on Transport and Retention of TiO2 Rutile Nanoparticles in Saturated Sand Columns
13,[],['No results'],Hepatic clearance of 6 polyaromatic aromatic hydrocarbons by isolated trout livers:  Prediction from in vitro clearance by liver S9 fractions
14,[],['No results'],A pharmacokinetic model of cis- and trans-permethrin disposition in rats andhumans with aggregate exposure application
15,['10.1039/c2cc32894a'],[],A modular synthesis of dithiocarbamate pendant unnatural α-amino acids
16,['10.1002/etc.2151'],[],Cross-Species Conservation of Endocrine Pathways: A Critical Analysis of  Tier 1 Fish and Rat Screening Assays with 12 Model Chemicals
17,['10.3109/10408444.2013.835784'],[],Mode of action framework analysis for receptor-mediated toxicity: the Peroxisome Proliferator-Activated Receptor alpha PPARα as a case study
18,['10.1021/sc4000362'],[],"Greener Techniques for the Synthesis of Silver Nanoparticles Using Plant Extracts, Enzymes, Bacteria, Biodegradable Polymers, and Microwaves"
19,['10.1088/1752-7155/6/3/039001'],[],"Breath Analysis Science at PittCon 2012, Orlando, Florida"
20,['10.1016/j.tetlet.2013.01.029'],[],Mixing with microwaves: solvent-free and catalyst-free synthesis of pyrazoles and diazepines
21,['10.1016/j.chemosphere.2014.03.116'],[],Silver speciation and release in commercial antimicrobial textiles as influenced by washing
22,['10.1093/toxsci/kft068'],[],Developing predictive approaches to characterize adaptive responses of the reproductive endocrine axis to aromatase inhibition: I. Data generation in a small fish model
23,['10.1177/0192623312474865'],[],"STP Position Paper: Recommended Practices for Sampling and Processing the Nervous System Brain, Spinal Cord, Nerve, and Eye during Nonclinical General Toxicity Studies"
24,['10.1093/pcp/pcs064'],[],Arabidopsis GUX Proteins Are Glucuronyltransferases Responsible for the Addition of Glucuronic Acid Side Chains onto Xylan
25,['10.1021/es303170u'],[],"Application of a label-free, gel-free quantitative proteomics method for ecotoxicological studies of small fish species"
26,['10.1177/0192623312464437'],[],DNA Reactivity as a Mode of Action and Its Relevance to Cancer Risk Assessment
27,['10.1039/c2gc35673b'],[],A simple and facile Heck-type arylation of alkenes with diaryliodonium salts using magnetically recoverable Pd-catalyst
28,['10.1016/j.yrtph.2013.03.012'],[],"A Framework for ""Fit for Purpose"" Dose Response Assessment"
29,[],['No results'],Modulation of the Efflux Transporter P-glycoprotein by Pesticides and Their CYP450 Metabolites: Implications for Exposure Assessment
30,[],['No results'],Solvent-free and catalyst-free chemistry – A benign pathway to sustainability
31,['10.1002/0471140856.tx1410s53'],[],Assessment of metabolic stability using  the rainbow trout Oncorhynchus mykiss liver S9 fraction
32,[],['No results'],Nano-catalysts: Key to the Greener Pathways Leading to Sustainability
33,['10.1021/es2033857'],[],Providing the Missing Link: the Exposure Science Ontology ExO
34,['10.1016/j.neuro.2012.08.008'],[],Magnetic Resonance Imaging and Volumetric Analysis: Novel Tools to Study Thyroid Hormone Disruption and Its Effect on White Matter Development
35,[],['No results'],Analysis of NHANES Measured Blood PCBs in the General U.S. Population andApplication of SHEDS Model to Identify Key Exposure Factors
36,['10.1007/s00244-013-9934-0'],[],"Exposure and effects of perfluoroalkyl substances in tree swallows nesting in Minnesota and Wisconsin, USA"
37,['10.1530/REP-12-0266'],[],NOVEL MOLECULAR TARGETS ASSOCIATED WITH TESTICULAR DYSGENESIS INDUCED BY GESTATIONAL EXPOSURE TO DIETHYLHEXYL PHTHALATE IN THE RAT: A ROLE FOR ESTRADIOL
38,[],['No results'],Influence of Poly Ethylene Glycol and Oleylamine on the Formation of Nano to Micron Size Spherical SiO2 Particles
39,[],['No results'],Examining the efficiency of muffle furnance-induced alkaline hydrolysis in determining the titanium content of environmental samples containing engineered titanium dioxide particles
40,[],['No results'],The impact of endocrine disruptors and hormonal drugs on the entire nuclear receptor superfamily profiled in a single cellular assay
41,['10.1016/j.tiv.2013.07.005'],[],"Investigating Oxidative Stress and Inflammatory Responses Elicited by Silver Nanoparticles Using High-Throughput Reporter Genes in HepG2 Cells: Effect of Size, Surface Coating, and Intracellular Uptake"
42,['10.1007/s11051-012-1087-y'],[],Characterization of Carbon Nano-Onions for Heavy Metal Ion Remediation
43,[],['No results'],A Two and Half-Year-Performance Evaluation of a Field Test on Treatment of Source Zone Tetrachloroethene and Its Chlorinated Daughter Products Using Emulsified Zaro Valent Iron Nanoparticles
44,['10.1021/es300883q'],[],Influence of Collector Surface Composition and Water Chemistry on the Deposition of Cerium Dioxide Nanoparticles: QCM-D and Column Experiment Approaches
45,['10.1002/etc.1978'],[],Comparison of nanosilver and ionic silver toxicity in Daphnia magna and Pimephales promelas
46,['10.1039/c3gc40457a'],[],Magnetite-supported sulfonic acid: a retrievable nanocatalyst for Ritter reaction
47,[],['No results'],Transformation of Four Silver/Silver Chloride Nanoparticles during Anaerobic Treatment of Wastewater and Post-processing of Sewage Sludge
48,[],['No results'],Tsuji-Trost N-allylation with allylic acetates using cellulose-Pd catalyst
49,[],['No results'],ToxPi GUI: An interactive visualization tool for transparent integrationof data from diverse sources of evidence
50,[],['No results'],Effects of humic and fulvic acids on aggregation of aqu/nC60 nanoparticles
51,['10.1039/c2em30625e'],[],Effects of dominant material properties on the stability and transport of TiO2 nanoparticles and carbon nanotubes in aquatic environment: From synthesis to fate
52,[],['No results'],"Alternatives to in vivo tests to detect endocrine disrupting chemicals EDCs in fish and amphibians – interactions with estrogens, androgens, and thyroid hormones"
53,['10.1002/etc.2972'],[],"Linking mechanistic toxicology to population models in forecasting recovery from chemical stress: A case study from Jackfish Bay, Ontario, Canada"
54,['10.1002/etc.2186'],[],Use of gene expression data to determine effects on gonad phenotype in Japanese medaka after exposure to trenbolone or estradiol
55,[],['No results'],A Rapid Screen Technique for Estimating Nanoparticle Transport in Porous Media
56,['10.1289/ehp.1205784'],[],Improving the Human Hazard Characterization of Chemicals: A Tox21 Update
57,[],['No results'],Speedy fabrication of diameter-controlled Ag nanowires using glycerolunder microwave irradiation conditions
58,['10.1039/c2ra22143h'],[],First application of core-shell Ag@Ni magnetic nanocatalyst for transfer hydrogenation reactions of aromatic nitro and carbonyl compounds
59,[],['No results'],Towards sustainable environmental quality: A call to prioritize global research needs
60,['10.1021/sc500237k'],[],"Synthesis of Silver and Gold Nanoparticles Using Antioxidants from Blackberry, Blueberry, Pomegranate and Turmeric Extracts"
61,[],['No results'],"IronII,III-polyphenol complex nanoparticles derived from green tea exhibit a high ecotoxicological hazard"
62,['10.1002/ejoc.201201313'],[],One-pot Catalyst-free Synthesis of β- and γ-Hydroxy Sulfides Using Diaryliodonium Salts and Microwaves
63,[],['No results'],Beet Juice-induced Green Fabrication of Plasmonic AgCl/Ag Nanoparticles: Unusual Top-down Hydrothermal Synthesis
64,['10.1021/tx400310w'],[],Development of a thyroperoxidase inhibition assay for high-throughput screening
65,['10.1093/toxsci/kft228'],[],Cumulative Risk:  Toxicity and Interactions of Physical and Chemical Stressors
66,['10.1016/j.matlet.2013.05.103'],[],Synthesis of mesoporous nano-hydroxyapatite by using zwitterions surfactant
67,[],['No results'],Photocatalytic ROS production and phototoxicity of titanium dioxide nanoparticles is dependent on solar UV radiation spectrum
68,['10.1093/toxsci/kft010'],[],Propiconazole inhibits steroidogenesis and reproduction in the fathead minnow Pimephales promelas
69,[],['No results'],Changes in silver nanoparticles exposed to human synthetic stomach fluid: Effectsof particle size and surface chemistry
70,['10.1371/journal.pone.0046579'],[],Fishy aroma of social status: Urinary chemo-signaling of territoriality in male fathead minnows Pimephales promelas
71,['10.1021/ci300338w'],[],Does Rational Selection of Training and Test Sets Improve the Outcome of QSAR Modeling
72,['10.1039/c2cc32566g'],[],A facile one-pot synthesis of ruthenium hydroxide nanoparticles on magnetic silica: Aqueous hydration of nitriles to amides
73,['10.1016/j.envpol.2013.10.011'],[],Silicon Impurity Release and Surface Transformation of TiO2 Anatase and Rutile Nanoparticles in Water Environments
74,['10.1289/ehp.1409450'],[],A Workflow to Investigate Exposure and Pharmacokinetic Influences on High-Throughput in Vitro Chemical Screening Based on Adverse Outcome Pathways
75,['10.1189/jlb.0212082'],[],Magnitude Of Stimulation Dictates The Cannabinoid-Mediated Differential T Cell Response To HIVgp120
76,[],['No results'],"INTEGRATION of Microscopic, macroscopic Ionization pKa, Zwitterions, Hydration and Tautomer Equilibrium Constants"
77,[],['No results'],Magnetically recyclable magnetite-ceria Nanocat-Fe-Ce nanocatalysts - applications in multicomponent reactions under benign conditions
78,[],['No results'],"""Green"" synthesized and coated nanaosilver alters the membrance permeability of barrier intestinal, brain, endothelial cells and stimulates oxidative stress pathways in neurons."
79,[],['No results'],Designing Sustainable Supply Chains Journal Article
80,[],['No results'],Towards improved models for predicting bioconcentration of well-metabolized compounds by rainbow trout using measured rates of in vitro intrinsic clearance
81,[],['No results'],Highly efficient one-pot three-component synthesis of naphthopyran derivatives in water catalyzed by hydroxyapatite
82,[],['No results'],Nano-magnetite Fe3O4as a support for recyclable catalysts in the development of sustainable methodologies
83,['10.1016/j.scitotenv.2013.04.051'],[],Comparison of Modeling Approaches to Prioritize Chemicals Based on Estimates of Exposure and Exposure Potential
84,[],['No results'],Expeditious organic–free assembly: morphologically controlled synthesis of iron oxides using microwaves
85,['10.1016/j.neuro.2013.02.006'],[],Evaluation of Microelectrode Array Data using Bayesian Modeling as an Approach to Screening and Prioritization for Neurotoxicity Testing*
86,['10.1021/sc400032k'],[],Magnetic Silica-Supported Ruthenium Nanoparticles: An Efficient Catalyst for Transfer Hydrogenation of Carbonyl Compounds
87,['10.1021/acs.est.5b03686'],[],Abiotic Hydrolysis of Fluorotelomer-Based Polymers as a Source of Perfluorocarboxylates at the Global Scale
88,['10.1021/sc400007p'],[],"Green synthesis of noble nanometals Au, Pt, Pd using glycerol under microwave irradiation conditions"
89,['10.1002/etc.2174'],[],Bioaccumulation and Toxicity of Single-Walled Carbon Nanotubes to Benthic Organisms at the Base of the Marine Food Chain
