,abstract,doi,first_seen,journal,n_tweets,pmid,published,title
0,,10.1088/1752-7155/6/3/039001,,,0,,,
1,,10.1016/j.ijheh.2015.02.002,2015-05-26T15:21:14+00:00,International Journal of Hygiene & Environmental Health,10,25747543,2015-02-11T00:00:00+00:00,Characterization of silver nanoparticles in selected consumer products and its relevance for predicting children’s potential exposures
2,,10.1016/j.chemosphere.2014.03.116,2016-04-15T10:00:32+00:00,Chemosphere,0,24997939,2014-09-14T23:00:00+00:00,Silver speciation and release in commercial antimicrobial textiles as influenced by washing
3,The evaluation of cardiovascular side-effects is a critical element in the development of all new drugs and chemicals. Cardiac safety issues are a major cause of attrition and withdrawal due to adverse drug reactions (ADRs) in pharmaceutical drug development.,10.1016/j.vascn.2013.03.008,2014-01-30T18:33:13+00:00,Journal of Pharmacological & Toxicological Methods,1,23567075,2013-01-01T00:00:00+00:00,A public–private consortium advances cardiac safety evaluation: Achievements of the HESI Cardiac Safety Technical Committee 
4,"It is not feasible to conduct toxicity tests with all species that may be impacted by chemical exposures. Therefore, cross-species extrapolation is fundamental to environmental risk assessment. Recognition of the impracticality of generating empirical, whole organism, toxicity data for the extensive universe of chemicals in commerce has been an impetus driving the field of predictive toxicology. We describe a strategy that leverages expanding databases of molecular sequence information together with identification of specific molecular chemical targets whose perturbation can lead to adverse outcomes to support predictive species extrapolation. This approach can be used to predict which species may be more (or less) susceptible to effects following exposure to chemicals with known modes of action (e.g., pharmaceuticals, pesticides). Primary amino acid sequence alignments are combined with more detailed analyses of conserved functional domains to derive the predictions. This methodology employs bioinformatic approaches to automate, collate, and calculate quantitative metrics associated with cross-species sequence similarity of key molecular initiating events (MIEs). Case examples focused on the actions of (a) 17α-ethinyl estradiol on the human (Homo sapiens) estrogen receptor; (b) permethrin on the mosquito (Aedes aegypti) voltage-gated para-like sodium channel; and (c) 17β-trenbolone on the bovine (Bos taurus) androgen receptor are presented to demonstrate the potential predictive utility of this species extrapolation strategy. The examples compare empirical toxicity data to cross-species predictions of intrinsic susceptibility based on analyses of sequence similarity relevant to the MIEs of defined adverse outcome pathways. Through further refinement, and definition of appropriate domains of applicability, we envision practical and routine utility for the molecular target similarity-based predictive method in chemical risk assessment, particularly where testing resources are limited.",10.1016/j.aquatox.2013.09.004,2015-01-12T14:37:34+00:00,Aquatic Toxicology,0,24177217,,Molecular target sequence similarity as a basis for species extrapolation to assess the ecological risk of chemicals with known modes of action 
5,"Increasing commercial use of nanosilver has focussed attention on the fate of silver (Ag) in the wastewater release pathway. This paper reports the speciation and lability of Ag in archived, stockpiled, and contemporary biosolids from the UK, USA and Australia, and indicates that biosolids Ag concentrations have decreased significantly over recent decades. XANES revealed the importance of reduced-sulfur binding environments for Ag speciation in materials ranging from freshly produced sludge to biosolids weathered under ambient environmental conditions for more than 50 years. Isotopic dilution with (110m)Ag showed that Ag was predominantly non-labile in both fresh and aged biosolids (13.7% mean lability), with E-values ranging from 0.3 to 60 mg/kg and 5 mM CaNO3 extractable Ag from 1.2 to 609 μg/kg (0.002-3.4% of the total Ag). This study indicates that at the time of soil application, biosolids Ag will be predominantly Ag-sulfides and characterised by low isotopic lability.",10.1016/j.envpol.2015.05.017,2016-04-15T10:00:34+00:00,Environmental Pollution,0,26021819,2015-10-01T00:00:00+00:00,Non-labile silver species in biosolids remain stable throughout 50 years of weathering and ageing
6,,10.1021/es504347u,2015-06-14T21:29:34+00:00,Environmental Science & Technology,0,25426868,2014-11-26T00:00:00+00:00,"Decades-Scale Degradation of Commercial, Side-Chain, Fluorotelomer-Based Polymers in Soils and Water"
7,"Addressing the safety aspects of drugs and environmental chemicals has historically been undertaken through animal testing. However, the quantity of chemicals in need of assessment and the challenges of species extrapolation require the development of alternative approaches. Our approach, the US Environmental Protection Agency's ToxCast program, utilizes a large suite of in vitro and model organism assays to interrogate important chemical libraries and computationally analyze bioactivity profiles. Here we evaluated one component of the ToxCast program, the use of primary human cell systems, by screening for chemicals that disrupt physiologically important pathways. Chemical-response signatures for 87 endpoints covering molecular functions relevant to toxic and therapeutic pathways were generated in eight cell systems for 641 environmental chemicals and 135 reference pharmaceuticals and failed drugs. Computational clustering of the profiling data provided insights into the polypharmacology and potential off-target effects for many chemicals that have limited or no toxicity information. The endpoints measured can be closely linked to in vivo outcomes, such as the upregulation of tissue factor in endothelial cell systems by compounds linked to the risk of thrombosis in vivo. Our results demonstrate that assaying complex biological pathways in primary human cells can identify potential chemical targets, toxicological liabilities and mechanisms useful for elucidating adverse outcome pathways.",10.1038/nbt.2914,2014-05-19T14:50:07+00:00,Nature Biotechnology,15,24837663,2014-05-18T00:00:00+00:00,Phenotypic screening of the ToxCast chemical library to classify toxic and therapeutic mechanisms
8,,10.1038/jes.2013.91,,,0,,,
9,"Developing physiologically-based pharmacokinetic (PBPK) models for chemicals can be resource-intensive, as neither chemical-specific parameters nor in vivo pharmacokinetic data are easily available for model construction. Previously developed, well-parameterized, and thoroughly-vetted models can be a great resource for the construction of models pertaining to new chemicals. A PBPK knowledgebase was compiled and developed from existing PBPK-related articles and used to develop new models. From 2,039 PBPK-related articles published between 1977 and 2013, 307 unique chemicals were identified for use as the basis of our knowledgebase. Keywords related to species, gender, developmental stages, and organs were analyzed from the articles within the PBPK knowledgebase. A correlation matrix of the 307 chemicals in the PBPK knowledgebase was calculated based on pharmacokinetic-relevant molecular descriptors. Chemicals in the PBPK knowledgebase were ranked based on their correlation toward ethylbenzene and gefitinib. Next, multiple chemicals were selected to represent exact matches, close analogues, or non-analogues of the target case study chemicals. Parameters, equations, or experimental data relevant to existing models for these chemicals and their analogues were used to construct new models, and model predictions were compared to observed values. This compiled knowledgebase provides a chemical structure-based approach for identifying PBPK models relevant to other chemical entities. Using suitable correlation metrics, we demonstrated that models of chemical analogues in the PBPK knowledgebase can guide the construction of PBPK models for other chemicals.",10.1371/journal.pcbi.1004495,2016-02-12T18:42:41+00:00,PLoS Computational Biology,3,26871706,2016-02-12T00:00:00+00:00,Developing a Physiologically-Based Pharmacokinetic Model Knowledgebase in Support of Provisional Model Construction
