account,description,n_tweets,n_followers,location
@9macar4,Biólogo.  Subsecretário de Desenvolvimento Científico e Tecnológico - GDF,1,166.0,BR
@ACSNanotation,"A nanoscience community from the American Chemical Society, highlighting the best in nanoscience and nanotechnology",1,3960.0,
@ASRS,"Automated Storage and Retrieval Systems, ASRS, AS/RS, Automated or semi-automated systems for chemical or biological library storage
Andy Zaayenga",5,112.0,
@Abir_Mhamdi,"Ce que l'on fait dans sa vie, résonne dans l'éternité...

G yes G will touch our everyday life in the most intimate way!",1,84.0,
@AdeptusConsult,"Specialists in Environmental Site Assessment, Monitoring and Management.",1,73.0,GB
@AirmidHealth,Indoor environment research & development. We help companies innovate & differentiate their products & services through claim verification & lab testing.,1,1064.0,IE
@AllergyNet,"Consultant Physician (Clinical Immunology/Allergy), former Anatomical Pathologist. AllergyNet Australia blog since Jan 1998",1,2995.0,AU
@AmOrnith,Gateway to #ornithology resources • American Ornithologists’ Union + Cooper Ornithological Society • Scientific study and conservation of birds in the Americas,1,3530.0,
@AmSciMag,"Published since 1913 by @SigmaXiSociety, American Scientist magazine publishes award-winning content about science, technology, engineering, & mathematics.",1,17966.0,US
@AnalBioanalChem,"Analytical and Bioanalytical Chemistry
- Your society journal for rapid publication and global visibility of analytical research!",1,333.0,
@AndConrad,Environmental health ~ Scientist at UBA (German EPA) ~ Tweeting personal views only ~ RT ≠ endorsement,1,128.0,DE
@AnestesiaF,"Anestesia. Compartir, revisar y fomentar la realización de referencias de la Literatura Médica Latinoamericana y a sus Autores.",1,1444.0,
@AngelGarcia74,,2,769.0,
@AquaToxWorkshop,The Aquatic Toxicity Workshop (ATW) is Canada's major annual meeting in the field of aquatic toxicology and related disciplines.,1,79.0,CA
@BenjaminMWood,Technology Transfer Specialist and car nut. Helping West Midlands #SMEs grow using polymer technology. Occasionally dismantling cylinder heads in the kitchen.,1,309.0,
@BioGPS,"BioGPS is a free extensible and customizable gene annotation portal, a complete resource for learning about gene and protein function.",1,730.0,
